,carat,cut,color,clarity,depth,table,x,y,z,clarity_,cut_,color_,price_predicted
887,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,7,3,4,1893.7692702692354
888,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,2,3,1,2901.7085539371155
889,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,4,4,2,19274.63758544874
890,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,8,5,5,830.4042920373922
891,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,6,3,6,725.2081030933808
892,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,2,4,7,9042.490657340246
893,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,5,5,4,1890.577372451164
894,0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,3,3,6,1807.3466240548346
895,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,3,4,2,14161.598391429676
896,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,3,3,7,1068.4543428861623
897,2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,2,5,3,17185.81393106947
898,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,5,4,2,4071.160357102672
899,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,2,5,5,734.1686799757894
900,1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,3,5,6,5268.52746410423
901,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,4,4,4,986.784275622146
902,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,7,5,3,906.2568175227452
903,1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,8,3,4,8624.653018040866
904,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,3,4,4,476.5147013352334
905,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,6,5,4,725.2119100853569
906,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,2,4,5,3588.703895734707
907,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,2,2,4,1909.7932063695553
908,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,3,3,5,2441.1776476075215
909,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,4,5,3,340.35952814723026
910,0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,4,3,6,2009.1997866868676
911,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,3,4,2,1998.523423156831
912,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,6,5,3,3890.2319345559845
913,0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,5,4,4,612.2365764248243
914,0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,4,4,6,1727.836551905625
915,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,6,3,5,9678.314223084495
916,1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,3,2,7,5031.838754906385
917,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,7,2,3,619.6223713020837
918,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,4,2,6,573.2071171901558
919,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,4,4,6,1671.0561410042976
920,1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,6,5,3,8815.022103390484
921,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,4,5,7,2120.899673912107
922,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,4,5,6,1831.6026883313002
923,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,4,5,6,2168.035157991792
924,0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,5,4,2,2689.076393766451
925,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,1,5,5,3722.4697436297442
926,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,5,3,5,3123.671006834028
927,0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,8,5,7,3262.479234877925
928,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,7,5,4,1917.2538640217854
929,1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,6,3,4,7098.8440500451925
930,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,6,5,4,1281.3499072260531
931,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,5,5,4,511.7868443180718
932,1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,5,4,3,11819.35309358314
933,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,2,4,4,6507.57988827076
934,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,7,5,4,2140.3317389463464
935,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,6,5,5,1425.8228925383648
936,0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,5,4,4,1048.9340428016565
937,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,2,3,5,3219.8151487552727
938,2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,2,1,7,15240.467156941377
939,1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,4,4,4,11528.947162996023
940,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,3,5,5,586.7929394746444
941,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,3,4,6,1395.8051842375262
942,0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,5,2,4,4525.229905632264
943,0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,3,1,7,2466.630042434352
944,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,3,2,3,5680.312522615649
945,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,3,4,6,603.0530785905657
946,0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,4,3,5,2793.8511776629543
947,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,5,5,6,1314.5164291858496
948,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,2,3,4,3164.2741637790127
949,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,2,4,3,3508.159309109035
950,1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,4,5,2,5246.972594350897
951,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,7,4,2,1920.212141854407
952,1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,4,1,6,5268.664126986801
953,2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,4,4,1,13536.116990411825
954,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,2,3,6,430.0568701872256
955,1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,2,3,7,4557.275199703094
956,0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,4,4,4,2152.514751051437
957,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,3,2,1,2066.4270390679667
958,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,2,4,5,3324.1420542768365
959,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,3,3,2,14148.968301803123
960,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,2,2,7,3394.9187405050575
961,1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,3,5,3,5295.610611029602
962,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,7,5,5,2118.5857596372452
963,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,6,2,5,580.7433150811482
964,0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,4,3,6,1682.0172306360516
965,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,4,5,5,8100.284351269635
966,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,4,5,5,559.3962787078243
967,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,4,3,2,9318.70966471901
968,1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,3,2,7,5124.815805985174
969,1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,3,5,5,7075.358516820453
970,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,6,5,5,1894.9253011236021
971,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,4,5,6,838.2987809859197
972,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,4,5,6,1831.3064607501176
973,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,4,5,5,1867.9285556406783
974,2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,6,5,1,17599.20174678767
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,2,4,6,15912.584876260098
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,2,3,7,446.9786859049932
977,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,6,5,4,3727.7366637571317
978,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,3,3,4,4655.049152134147
979,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,5,4,2,17946.246399006253
980,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,6,4,1,9497.51990703631
981,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,3,5,5,520.015927415016
982,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,5,5,6,2339.3388362138785
983,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,3,5,2,16403.45470902954
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,2,4,5,3810.42440027086
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,2,4,7,6242.084517757595
986,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,3,5,4,372.96824956707997
987,1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,4,4,4,11476.885011492923
988,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,4,5,6,668.2547251544713
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2,4,3,2245.4982534225433
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,2,4,4,2321.8727717321094
991,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,5,2,5,2041.1409285098036
992,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,6,5,4,557.3202742996747
993,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,6,5,4,1919.881572189363
994,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,8,5,4,1539.816220048903
995,0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,6,5,4,2508.3257711346087
996,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,2,4,7,646.8896122371359
997,0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,6,5,6,2303.743403085121
998,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,2,2,1,1982.8403595251025
999,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,2,4,4,3784.309949477703
1000,1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,3,3,4,4742.130363033905
1001,0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,3,3,5,1443.322372910699
1002,0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,7,5,4,1259.96420092798
1003,0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,3,4,3,1841.5563057143443
1004,0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,4,3,3,661.4513179371734
1005,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,2,4,3,2881.767021425482
1006,1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,3,2,3,4684.73786676112
1007,0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,3,5,2,2151.0559613337796
1008,0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,4,3,5,4481.977498637811
1009,1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,2,5,2,3566.414266935815
1010,0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,4,4,5,2881.022902659999
1011,1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,3,3,3,4216.535211111169
1012,0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,2,4,4,3528.040694649575
1013,0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,6,3,3,1507.7905803655324
1014,1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,7,5,2,6528.311615887598
1015,0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,3,2,7,1577.13067371787
1016,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,2,3,6,1204.9468775959335
1017,0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,5,5,6,1255.7769482354308
1018,0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,6,2,6,1825.1904206838587
1019,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,2,5,2,3563.446477482592
1020,0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,3,5,6,1124.448867252303
1021,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,5,5,5,3534.795815134066
1022,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,4,5,7,2117.530297789171
1023,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,2,3,7,841.2230113102273
1024,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,6,3,5,4470.684726206134
1025,0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,4,5,2,2404.5322807060165
1026,0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,4,5,7,1177.4665045632055
1027,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,3,3,2,3763.27107014075
1028,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,1,5,6,3916.3595650476477
1029,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,4,4,5,12591.201108559593
1030,0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,7,5,3,3512.8216835470494
1031,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,2,3,6,2121.3536707582953
1032,1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,4,3,4,6072.795961868313
1033,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,5,3,2,6877.4570891673375
1034,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,5,5,7,776.5288087357179
1035,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,8,5,4,1470.2215520198893
1036,0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,4,4,5,584.3263158037615
1037,1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,3,4,1,5230.668985074811
1038,1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,2,2,5,3838.3825206416514
1039,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,2,4,3,5420.982360340926
1040,2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,2,4,1,11712.49956799148
1041,0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,3,2,5,2478.5207136828762
1042,1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,4,1,5,4921.638413135024
1043,0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,5,2,2,1375.4162171256528
1044,2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,3,3,4,16661.882460703753
1045,0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,6,5,7,898.1929527637137
1046,1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,3,5,3,4680.571408219443
1047,1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,8,5,4,10965.110147575353
1048,1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,3,2,3,3974.6678283623596
1049,0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,8,5,7,971.494966090965
1050,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,4,4,3,18159.858183320343
1051,0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,5,5,5,936.7588714307858
1052,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,6,3,2,875.9811841306239
1053,0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,5,4,4,730.5008036420278
1054,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,8,4,2,714.4733553004226
1055,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,2,5,5,735.0822353509861
1056,1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,3,3,7,5229.295701572863
1057,0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,6,1,3,643.2561729294745
1058,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,5,5,4,12921.899104190496
1059,0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,5,3,2,3174.0300055552434
1060,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,7,3,4,789.9666335486967
1061,1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,5,3,3,6432.308478914648
1062,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,4,5,3,1356.1372939564392
1063,0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,5,2,2,564.4679470284307
1064,0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,5,1,6,488.6106196606369
1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,1,5,3,6982.5904016263175
1066,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,3,3,6,894.1535742307688
1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,2,2,6,8627.896642584434
1068,0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,4,3,6,596.3752387271921
1069,0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,3,3,7,2258.388450631098
1070,0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,3,2,5,3753.44170680153
1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,2,3,3,3415.7373374906488
1072,1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,4,5,7,6453.009595679776
1073,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,3,3,6,935.589125330269
1074,1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,4,1,5,4896.682631257611
1075,0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,3,3,4,494.68133509959677
1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,2,3,7,4555.551679903579
1077,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,3,4,3,4499.068558021751
1078,0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,6,4,4,5381.205419340625
1079,0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,7,3,6,834.1066534464447
1080,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3,3,6,3289.1977192036243
1081,1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,3,3,7,5425.087816322168
1082,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,5,5,4,6016.696599700693
1083,0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,3,4,7,704.7570685551706
1084,1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,4,5,4,5407.676912803224
1085,0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,4,5,4,2990.0960146337675
1086,0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,3,2,6,632.898527080627
1087,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3,4,1,3134.0078586157974
1088,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,5,5,4,1886.8258940276517
1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,2,3,5,4084.510655816276
1090,0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,6,3,4,4109.700961006878
1091,0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,3,3,3,456.80081090097224
1092,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,2,4,7,16334.623606742514
1093,1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,6,4,1,9391.886174397023
1094,1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,2,4,2,4549.1997722774
1095,0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,4,3,2,2288.725371797718
1096,0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,2,2,4,367.952870795371
1097,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,4,2,6,1741.5910959521443
1098,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,3,4,5,5084.647286904679
1099,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,4,3,5,5566.314616879126
1100,0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,8,5,4,782.5513983475357
1101,1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,2,4,2,4351.094418320275
1102,1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,2,2,2,6355.43068509243
1103,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,1,2,4,2666.1698219043446
1104,3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,1,5,2,20733.691324812815
1105,0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,3,5,6,981.1697678634059
1106,0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,2,3,7,1257.3029041976652
1107,1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,3,4,7,11840.302669627557
1108,0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,7,5,3,954.6376915832275
1109,0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,3,4,7,1511.6698300804835
1110,0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,4,4,1,1090.333538246892
1111,1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,2,2,5,3851.6911047006342
1112,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1,2,5,1380.534973044955
1113,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,4,5,3,655.9557746771825
1114,1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,4,4,4,5692.721676235688
1115,0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,4,4,6,1006.8353848052775
1116,1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,5,4,5,6383.204699027036
1117,0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,7,3,5,742.4487385878617
1118,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,5,5,4,16492.443157094953
1119,1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,4,4,3,5850.149045428036
1120,1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,2,5,3,4654.834950597497
1121,0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,5,5,3,650.6800682092004
1122,2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,2,4,4,14144.205343570811
1123,0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,7,3,4,459.2113008644243
1124,0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,2,3,6,769.8776866125768
1125,0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,7,3,7,717.2939634961471
1126,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,3,4,7,593.5418064448099
1127,0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,4,2,5,1181.0789217291597
1128,0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,5,3,6,1369.5718212611007
1129,0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,7,5,5,1158.0198005973511
1130,0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4,4,4,4329.036947793866
1131,0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,2,5,5,1249.0594309702265
1132,0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,8,4,2,1915.8224755143633
1133,1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,4,3,6,5789.301395382494
1134,0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,8,5,5,938.9041354270781
1135,1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,2,4,3,5181.366791575781
1136,1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,2,3,6,4288.694571301942
1137,0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,6,4,6,2425.886977748313
1138,0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,8,5,3,1421.0091468907074
1139,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,5,5,4,1757.6461435141719
1140,0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,3,3,4,727.2034901870603
1141,0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,7,3,2,4551.0276255948775
1142,1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,3,4,3,11817.567070901468
1143,0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,3,3,3,456.67815104416655
1144,2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,2,4,5,15178.499427771892
1145,0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,6,5,6,2469.460658051665
1146,0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,8,5,4,1471.1868420477642
1147,0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,3,3,2,485.6419112817566
1148,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,5,5,4,1227.403553378187
1149,1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,3,1,1,5975.98769981353
1150,0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,4,3,4,604.6825780198254
1151,1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,5,4,4,8838.247293281363
1152,0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,5,5,6,742.6605666740562
1153,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,6,5,4,11063.253485875945
1154,1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,2,5,3,3719.7250523464813
1155,0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,4,3,1,1792.9085572187794
1156,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,5,4,5,6263.36064362615
1157,0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,4,5,4,1008.3162303430673
