,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_,color_,cut_
1870,0.32,Ideal,I,VVS2,62.6,54.0,561,4.37,4.41,2.75,6,2,5
1871,0.32,Very Good,E,SI1,61.6,56.0,561,4.39,4.41,2.71,3,6,3
1872,0.32,Ideal,G,VS2,61.8,57.0,561,4.38,4.42,2.72,4,4,5
1873,0.32,Very Good,G,VS2,62.4,59.0,561,4.33,4.36,2.71,4,4,3
1874,0.32,Very Good,H,VS1,61.7,61.0,561,4.38,4.43,2.72,5,3,3
1875,0.32,Premium,G,VS2,62.0,58.0,561,4.33,4.38,2.7,4,4,4
1876,0.32,Premium,G,VS2,62.6,59.0,561,4.33,4.36,2.72,4,4,4
1877,0.32,Very Good,E,SI1,62.8,57.0,561,4.34,4.39,2.74,3,6,3
1878,0.32,Very Good,H,VS1,60.5,59.0,561,4.41,4.42,2.67,5,3,3
1879,0.32,Very Good,E,SI1,62.2,57.0,561,4.38,4.43,2.74,3,6,3
1880,0.32,Premium,H,VS1,60.6,60.0,561,4.4,4.44,2.68,5,3,4
1881,0.32,Ideal,G,VS2,60.3,57.0,561,4.43,4.46,2.68,4,4,5
1882,0.32,Very Good,E,VS2,60.5,58.0,561,4.4,4.42,2.67,4,6,3
1883,0.32,Very Good,H,VS1,62.9,54.0,561,4.37,4.41,2.76,5,3,3
1884,0.32,Premium,E,SI1,60.2,60.0,561,4.39,4.44,2.66,3,6,4
1885,0.32,Premium,I,VVS2,61.9,59.0,561,4.35,4.38,2.7,6,2,4
1886,0.32,Premium,H,VS1,62.4,58.0,561,4.35,4.4,2.73,5,3,4
1887,0.32,Premium,G,VS2,61.5,58.0,561,4.35,4.4,2.69,4,4,4
1888,0.32,Ideal,E,SI1,61.9,56.0,561,4.39,4.43,2.73,3,6,5
1889,0.32,Premium,G,VS2,61.5,60.0,561,4.4,4.42,2.71,4,4,4
1890,0.32,Premium,E,SI1,61.9,59.0,561,4.36,4.39,2.71,3,6,4
1891,0.76,Premium,E,VS2,63.0,59.0,3107,5.79,5.76,3.64,4,6,4
1892,0.9,Good,I,VS2,62.4,65.0,3107,6.12,6.09,3.81,4,2,2
1893,0.76,Premium,E,VS2,60.3,60.0,3107,5.97,5.94,3.59,4,6,4
1894,0.81,Premium,H,VS1,61.7,58.0,3107,5.98,5.95,3.68,5,3,4
1895,0.74,Premium,E,VS2,62.4,59.0,3108,5.77,5.73,3.59,4,6,4
1896,0.7,Very Good,E,VS1,62.0,60.0,3109,5.61,5.64,3.49,5,6,3
1897,0.7,Premium,F,VVS1,61.9,59.0,3109,5.67,5.6,3.49,7,5,4
1898,0.81,Ideal,E,SI1,62.4,57.0,3109,5.92,5.97,3.71,3,6,5
1899,1.01,Good,H,I1,63.2,58.0,3110,6.33,6.39,4.02,1,3,2
1900,0.76,Very Good,E,VS2,61.0,58.0,3111,5.88,5.93,3.6,4,6,3
1901,1.01,Good,H,SI2,64.1,56.0,3111,6.37,6.3,4.06,2,3,2
1902,0.8,Ideal,H,VS1,63.1,58.0,3111,5.89,5.96,3.74,5,3,5
1903,0.68,Very Good,F,VVS2,57.3,60.0,3112,5.83,5.89,3.36,6,5,3
1904,0.91,Very Good,J,VS2,61.6,58.0,3112,6.23,6.28,3.85,4,1,3
1905,0.79,Premium,D,SI1,61.4,59.0,3112,5.89,5.96,3.64,3,7,4
1906,0.71,Very Good,E,VS1,59.8,58.0,3112,5.78,5.82,3.47,5,6,3
1907,0.71,Very Good,H,IF,63.0,57.0,3112,5.63,5.7,3.57,8,3,3
1908,0.71,Ideal,E,VS2,61.6,57.0,3112,5.71,5.79,3.54,4,6,5
1909,0.78,Very Good,G,VS2,62.6,58.0,3113,5.81,5.89,3.66,4,4,3
1910,0.82,Ideal,I,VS1,61.3,57.0,3113,6.02,6.07,3.7,5,2,5
1911,0.9,Very Good,G,SI2,60.1,60.0,3114,6.22,6.32,3.77,2,4,3
1912,0.77,Ideal,G,VS2,62.1,56.0,3114,5.85,5.88,3.64,4,4,5
1913,0.9,Good,H,SI2,64.3,58.0,3114,5.97,6.03,3.86,2,3,2
1914,0.93,Ideal,G,SI2,61.0,54.0,3114,6.35,6.32,3.87,2,4,5
1915,0.86,Very Good,H,SI1,63.8,56.0,3115,6.02,6.05,3.85,3,3,3
1916,0.7,Good,E,VS2,60.3,60.0,3115,5.69,5.75,3.45,4,6,2
1917,0.9,Good,H,SI2,64.3,60.0,3115,6.0,6.1,3.89,2,3,2
1918,0.84,Premium,F,SI1,59.0,59.0,3115,6.18,6.13,3.63,3,5,4
1919,0.8,Good,F,VS1,63.3,55.0,3116,5.87,5.92,3.73,5,5,2
1920,0.9,Good,F,SI2,63.2,59.0,3116,6.06,6.13,3.85,2,5,2
1921,0.71,Ideal,F,VS2,61.2,56.0,3116,5.77,5.79,3.54,4,5,5
1922,0.92,Fair,F,SI1,64.9,58.0,3117,6.1,6.04,3.94,3,5,1
1923,1.08,Premium,H,I1,61.7,59.0,3118,6.54,6.59,4.05,1,3,4
1924,0.85,Ideal,G,SI1,60.4,56.0,3118,6.26,6.17,3.75,3,4,5
1925,0.83,Very Good,F,SI1,63.1,58.0,3118,5.98,5.94,3.76,3,5,3
1926,1.16,Fair,H,SI2,68.2,55.0,3118,6.47,6.37,4.38,2,3,1
1927,0.87,Ideal,H,VS2,61.7,57.0,3118,6.14,6.09,3.77,4,3,5
1928,0.9,Very Good,J,VS2,61.9,59.0,3119,6.14,6.2,3.82,4,1,3
1929,0.7,Ideal,F,SI1,61.9,55.0,3119,5.7,5.74,3.54,3,5,5
1930,0.7,Ideal,F,SI1,61.2,55.0,3119,5.74,5.76,3.52,3,5,5
1931,1.02,Premium,J,SI2,62.3,58.0,3119,6.42,6.37,3.98,2,1,4
1932,1.02,Fair,J,SI2,65.0,59.0,3119,6.34,6.24,4.08,2,1,1
1933,0.91,Fair,E,SI2,64.5,60.0,3119,6.04,5.96,3.87,2,6,1
1934,0.9,Very Good,I,SI1,63.2,56.0,3120,6.15,6.12,3.88,3,2,3
1935,0.77,Ideal,G,VS1,62.4,54.0,3121,5.93,5.89,3.69,5,4,5
1936,0.76,Good,G,VS1,60.3,60.7,3121,5.86,5.9,3.55,5,4,2
1937,0.9,Premium,I,SI1,61.8,58.0,3121,6.26,6.2,3.85,3,2,4
1938,0.9,Very Good,I,SI1,63.5,59.0,3121,6.1,6.05,3.86,3,2,3
1939,0.9,Premium,I,SI1,62.1,59.0,3121,6.19,6.15,3.83,3,2,4
1940,0.86,Ideal,I,VS2,62.1,57.0,3121,6.1,6.07,3.78,4,2,5
1941,0.71,Very Good,E,SI1,60.0,56.0,3122,5.85,5.78,3.49,3,6,3
1942,0.72,Ideal,H,VS2,61.7,56.0,3122,5.74,5.77,3.56,4,3,5
1943,0.72,Ideal,H,VS2,60.1,56.0,3122,5.85,5.88,3.52,4,3,5
1944,0.92,Good,I,SI1,57.4,65.0,3122,6.42,6.48,3.7,3,2,2
1945,0.71,Ideal,F,VS2,61.8,56.2,3123,5.7,5.75,3.53,4,5,5
1946,0.71,Ideal,G,VS1,60.9,56.6,3123,5.75,5.79,3.52,5,4,5
1947,0.71,Ideal,G,VS1,61.8,56.1,3123,5.72,5.74,3.54,5,4,5
1948,0.82,Ideal,G,SI1,60.7,57.0,3123,6.07,6.06,3.68,3,4,5
1949,0.77,Very Good,G,VS2,62.8,59.0,3124,5.81,5.84,3.66,4,4,3
1950,0.72,Ideal,H,VVS1,61.4,56.0,3124,5.79,5.77,3.55,7,3,5
1951,0.84,Very Good,E,SI2,62.1,58.0,3125,6.02,6.09,3.76,2,6,3
1952,0.83,Ideal,E,SI2,61.3,57.0,3125,6.02,6.05,3.7,2,6,5
1953,0.94,Good,D,SI2,57.9,61.0,3125,6.48,6.43,3.74,2,7,2
1954,0.9,Good,H,SI1,60.5,64.0,3125,6.18,6.11,3.72,3,3,2
1955,0.52,Ideal,E,VVS1,61.8,55.0,3125,5.2,5.19,3.21,7,6,5
1956,0.93,Premium,J,VS2,61.1,59.0,3125,6.34,6.32,3.87,4,1,4
1957,0.57,Very Good,D,VVS1,62.8,56.0,3126,5.27,5.31,3.32,7,7,3
1958,0.72,Ideal,G,VVS2,61.2,57.0,3126,5.72,5.81,3.53,6,4,5
1959,0.57,Ideal,D,VVS1,61.6,56.0,3126,5.33,5.35,3.29,7,7,5
1960,0.7,Very Good,G,VS1,61.6,57.0,3127,5.69,5.73,3.52,5,4,3
1961,0.7,Very Good,G,VS1,61.9,57.0,3127,5.68,5.71,3.53,5,4,3
1962,0.73,Ideal,G,VVS2,62.2,55.0,3127,5.77,5.74,3.58,6,4,5
1963,0.73,Ideal,G,VVS2,61.9,56.0,3127,5.81,5.75,3.58,6,4,5
1964,0.73,Premium,E,VS2,61.9,57.0,3127,5.79,5.75,3.57,4,6,4
1965,0.71,Ideal,E,SI1,61.1,57.0,3128,5.75,5.77,3.52,3,6,5
1966,0.7,Ideal,D,VS2,61.5,56.0,3129,5.7,5.74,3.52,4,7,5
1967,0.75,Very Good,F,VS1,63.2,57.0,3129,5.78,5.74,3.64,5,5,3
1968,0.75,Ideal,E,SI2,62.6,55.0,3129,5.72,5.79,3.6,2,6,5
1969,0.97,Good,J,VS2,64.3,58.0,3129,6.25,6.22,4.01,4,1,2
1970,0.74,Ideal,I,VVS2,61.3,57.0,3130,5.82,5.85,3.57,6,2,5
1971,0.74,Ideal,G,SI1,60.6,55.0,3130,5.87,5.93,3.57,3,4,5
1972,0.74,Ideal,G,SI1,61.9,55.0,3130,5.8,5.83,3.6,3,4,5
1973,0.7,Very Good,D,VS2,61.2,60.0,3131,5.73,5.77,3.52,4,7,3
1974,0.71,Very Good,D,VS2,60.3,62.0,3131,5.69,5.76,3.45,4,7,3
1975,0.82,Ideal,G,SI1,61.8,55.0,3133,6.02,6.05,3.73,3,4,5
1976,0.74,Premium,E,VS1,60.0,57.0,3133,5.94,5.89,3.55,5,6,4
1977,0.94,Good,I,SI2,63.8,60.0,3134,6.14,6.21,3.94,2,2,2
1978,0.71,Ideal,D,VS2,61.2,56.0,3135,5.76,5.78,3.53,4,7,5
1979,0.73,Ideal,F,VS1,62.9,56.0,3135,5.71,5.77,3.61,5,5,5
1980,0.8,Very Good,D,VS2,63.1,57.0,3135,5.94,5.89,3.73,4,7,3
1981,0.81,Premium,D,SI1,60.7,58.0,3135,6.07,5.99,3.66,3,7,4
1982,0.7,Premium,F,VVS2,62.6,59.0,3136,5.66,5.62,3.53,6,5,4
1983,1.0,Fair,E,SI2,66.6,59.0,3136,6.07,6.01,4.02,2,6,1
1984,0.8,Premium,G,VS2,59.6,59.0,3136,6.09,6.0,3.6,4,4,4
1985,0.75,Ideal,E,VS2,60.2,57.0,3136,5.93,5.9,3.56,4,6,5
1986,0.71,Ideal,D,VS1,62.2,55.0,3136,5.74,5.71,3.56,5,7,5
1987,1.0,Fair,E,SI2,67.0,53.0,3136,6.19,6.13,4.13,2,6,1
1988,1.0,Fair,E,SI2,67.0,53.0,3136,6.19,6.13,4.13,2,6,1
1989,1.0,Premium,G,SI2,62.5,59.0,3136,6.41,6.33,3.98,2,4,4
1990,1.0,Ideal,H,I1,61.3,57.0,3136,6.44,6.41,3.94,1,3,5
1991,0.8,Ideal,F,SI1,61.0,56.0,3137,5.98,6.05,3.67,3,5,5
1992,0.72,Premium,H,VVS1,61.4,58.0,3137,5.75,5.78,3.54,7,3,4
1993,0.71,Ideal,H,VVS1,61.1,56.0,3137,5.78,5.81,3.53,7,3,5
1994,0.71,Ideal,D,VS2,62.3,56.0,3137,5.68,5.72,3.55,4,7,5
1995,0.79,Very Good,E,SI1,63.3,56.3,3138,5.85,5.88,3.71,3,6,3
1996,0.74,Very Good,D,SI1,61.5,59.0,3138,5.76,5.82,3.56,3,7,3
1997,0.72,Very Good,D,VS2,63.1,59.0,3139,5.67,5.7,3.59,4,7,3
1998,0.9,Very Good,E,SI2,60.7,61.0,3139,6.16,6.22,3.76,2,6,3
1999,0.9,Good,E,SI2,64.1,57.0,3139,6.07,6.09,3.9,2,6,2
2000,0.9,Good,E,SI2,63.4,62.0,3139,6.0,6.02,3.81,2,6,2
2001,0.9,Very Good,E,SI2,59.5,61.0,3139,6.24,6.3,3.73,2,6,3
2002,0.72,Ideal,G,VVS2,62.4,57.0,3139,5.71,5.76,3.58,6,4,5
2003,0.54,Ideal,D,VVS1,61.4,58.0,3139,5.28,5.25,3.23,7,7,5
2004,0.73,Ideal,F,VS1,61.1,57.0,3140,5.8,5.89,3.57,5,5,5
2005,0.7,Ideal,G,VS1,61.2,57.0,3140,5.7,5.74,3.5,5,4,5
2006,0.72,Good,E,VS2,60.8,62.0,3140,5.73,5.78,3.5,4,6,2
2007,1.02,Premium,H,I1,62.5,60.0,3141,6.39,6.41,4.0,1,3,4
2008,1.02,Very Good,E,I1,60.6,63.0,3141,6.46,6.52,3.93,1,6,3
2009,0.9,Premium,J,SI1,60.4,59.0,3141,6.27,6.24,3.78,3,1,4
2010,1.0,Premium,G,SI2,59.1,59.0,3142,6.55,6.48,3.850365,2,4,4
2011,0.7,Ideal,E,VS2,61.9,56.0,3142,5.69,5.72,3.53,4,6,5
2012,1.0,Fair,G,SI2,64.6,67.0,3142,6.25,6.19,4.02,2,4,1
2013,1.02,Ideal,H,SI2,58.8,57.0,3142,6.61,6.55,3.87,2,3,5
2014,1.0,Premium,G,SI2,61.5,56.0,3142,6.49,6.44,3.97,2,4,4
2015,0.83,Ideal,E,SI2,61.0,57.0,3143,6.06,6.13,3.72,2,6,5
2016,0.8,Very Good,H,VS1,62.7,56.0,3144,5.88,5.96,3.71,5,3,3
2017,1.21,Good,E,I1,57.2,62.0,3144,7.01,6.95,3.99,1,6,2
2018,0.7,Very Good,E,VS1,62.8,57.0,3145,5.65,5.68,3.56,5,6,3
2019,0.71,Very Good,D,VS1,58.1,62.0,3145,5.84,5.89,3.41,5,7,3
2020,0.9,Premium,I,VS1,60.7,58.0,3145,6.3,6.19,3.79,5,2,4
2021,0.9,Very Good,J,VS2,63.5,56.0,3145,6.12,6.1,3.88,4,1,3
2022,0.7,Ideal,H,VS2,61.2,56.0,3145,5.72,5.75,3.51,4,3,5
2023,0.71,Ideal,E,VS2,60.1,59.0,3145,5.79,5.83,3.49,4,6,5
2024,0.7,Ideal,G,SI1,61.6,55.0,3145,5.71,5.76,3.53,3,4,5
2025,0.9,Fair,G,SI1,65.4,57.0,3145,6.04,5.95,3.92,3,4,1
2026,0.9,Fair,G,SI1,65.6,56.0,3145,6.1,6.03,3.98,3,4,1
2027,0.9,Fair,G,SI1,65.4,59.0,3145,6.04,6.0,3.94,3,4,1
2028,0.9,Fair,H,SI1,66.8,55.0,3145,5.98,5.9,3.97,3,3,1
2029,0.74,Premium,G,VVS1,61.2,59.0,3145,5.84,5.79,3.56,7,4,4
2030,0.72,Ideal,E,VS2,60.6,57.0,3145,5.85,5.83,3.54,4,6,5
2031,0.72,Good,F,VVS2,61.3,65.0,3145,5.76,5.72,3.52,6,5,2
2032,0.78,Premium,D,SI1,60.9,55.0,3145,6.0,5.93,3.63,3,7,4
2033,0.71,Very Good,F,VS2,63.3,57.0,3146,5.65,5.69,3.59,4,5,3
2034,0.71,Ideal,H,IF,61.2,56.0,3146,5.74,5.79,3.53,8,3,5
2035,0.92,Very Good,J,VS2,60.9,62.0,3146,6.26,6.31,3.83,4,1,3
2036,0.81,Ideal,F,SI1,61.2,57.0,3146,6.0,6.05,3.69,3,5,5
2037,0.78,Ideal,E,SI1,62.1,58.0,3146,5.86,5.9,3.65,3,6,5
2038,0.73,Good,E,VS1,63.7,59.0,3146,5.67,5.69,3.62,5,6,2
2039,1.06,Ideal,I,SI2,62.8,55.0,3146,6.51,6.46,4.07,2,2,5
2040,0.77,Ideal,G,VS1,62.2,56.0,3148,5.9,5.85,3.66,5,4,5
2041,0.7,Good,E,VS1,61.2,58.0,3148,5.66,5.72,3.48,5,6,2
2042,0.7,Good,E,VS1,58.7,60.0,3148,5.79,5.83,3.41,5,6,2
2043,1.02,Ideal,I,VS2,62.8,57.0,3148,6.45,6.39,4.03,4,2,5
2044,0.91,Good,G,SI2,62.5,60.0,3149,6.05,6.08,3.79,2,4,2
2045,1.03,Fair,J,SI2,64.6,62.0,3149,6.3,6.21,4.06,2,1,1
2046,1.03,Premium,J,SI2,62.2,59.0,3149,6.42,6.4,3.99,2,1,4
2047,0.94,Very Good,F,SI2,62.3,59.0,3150,6.23,6.32,3.91,2,5,3
2048,0.88,Very Good,E,SI2,59.1,58.0,3150,6.22,6.3,3.7,2,6,3
2049,0.75,Ideal,E,VS2,61.7,56.0,3150,5.86,5.84,3.61,4,6,5
2050,0.75,Premium,E,VS2,61.8,58.0,3150,5.85,5.83,3.61,4,6,4
2051,0.72,Ideal,F,VS2,61.3,56.0,3151,5.78,5.8,3.55,4,5,5
2052,0.75,Ideal,D,SI1,62.0,58.0,3152,5.81,5.84,3.61,3,7,5
2053,0.83,Very Good,H,VS1,63.1,60.0,3153,5.91,5.98,3.75,5,3,3
2054,0.9,Good,D,SI2,63.9,60.0,3153,6.07,6.11,3.89,2,7,2
2055,0.8,Ideal,H,VS2,60.6,56.0,3153,6.03,6.08,3.67,4,3,5
2056,0.71,Ideal,D,VS2,62.0,57.0,3153,5.69,5.73,3.54,4,7,5
2057,0.92,Good,E,SI2,62.0,64.0,3153,6.2,6.16,3.83,2,6,2
2058,0.7,Very Good,E,VVS2,59.2,61.0,3154,5.79,5.84,3.44,6,6,3
2059,0.7,Very Good,E,VS1,62.2,55.0,3154,5.65,5.67,3.52,5,6,3
2060,0.7,Very Good,E,VS1,63.6,57.0,3154,5.61,5.65,3.58,5,6,3
2061,0.95,Very Good,J,SI1,63.4,55.0,3154,6.25,6.21,3.95,3,1,3
2062,0.58,Ideal,D,VVS1,61.6,60.0,3154,5.34,5.35,3.29,7,7,5
2063,0.77,Ideal,G,VS2,61.7,55.0,3154,5.87,5.9,3.63,4,4,5
2064,0.7,Ideal,F,VS1,61.7,55.0,3154,5.72,5.76,3.54,5,5,5
2065,0.95,Fair,J,SI1,58.0,66.0,3154,6.5,6.46,3.76,3,1,1
2066,0.8,Ideal,D,SI2,61.9,54.0,3154,6.0,5.95,3.7,2,7,5
2067,1.22,Premium,J,SI2,62.6,59.0,3156,6.79,4.24,3.76,2,1,4
2068,0.64,Ideal,E,VVS2,62.1,53.0,3157,5.51,5.54,3.43,6,6,5
2069,1.06,Premium,F,I1,60.3,58.0,3158,6.59,6.56,3.96,1,5,4
2070,0.8,Very Good,G,VS1,59.5,63.0,3158,6.11,6.05,3.61,5,4,3
2071,0.82,Premium,D,SI2,61.7,56.0,3159,6.01,5.99,3.7,2,7,4
2072,0.78,Ideal,E,VS2,62.1,54.0,3159,5.92,5.94,3.68,4,6,5
2073,0.7,Ideal,F,VVS2,62.0,57.0,3160,5.68,5.74,3.54,6,5,5
2074,0.9,Very Good,H,SI2,62.8,57.0,3160,6.15,6.2,3.88,2,3,3
2075,0.77,Very Good,D,SI1,58.6,59.0,3160,6.0,6.04,3.53,3,7,3
2076,0.9,Good,H,SI2,63.4,60.0,3160,6.03,6.08,3.84,2,3,2
2077,0.9,Very Good,H,SI2,62.9,57.0,3160,6.09,6.16,3.85,2,3,3
2078,0.9,Good,H,SI2,62.4,61.0,3160,6.03,6.11,3.79,2,3,2
2079,0.9,Very Good,H,SI2,59.5,63.0,3160,6.26,6.31,3.74,2,3,3
2080,0.9,Ideal,J,VS2,61.3,57.0,3160,6.16,6.24,3.8,4,1,5
2081,0.9,Very Good,H,SI2,61.1,63.0,3160,6.12,6.19,3.76,2,3,3
2082,0.9,Very Good,H,SI2,59.2,61.0,3160,6.23,6.27,3.7,2,3,3
2083,0.81,Ideal,D,SI2,61.9,54.0,3160,5.96,5.99,3.7,2,7,5
2084,0.9,Fair,F,SI1,66.0,57.0,3160,6.06,6.0,3.98,3,5,1
2085,0.63,Ideal,E,VVS1,62.4,56.0,3161,5.48,5.52,3.43,7,6,5
2086,0.71,Premium,D,VS2,62.4,59.0,3161,5.73,5.68,3.56,4,7,4
2087,0.71,Ideal,D,VS2,62.5,55.0,3161,5.74,5.71,3.58,4,7,5
2088,0.71,Premium,D,VS2,59.2,59.0,3161,5.86,5.8,3.45,4,7,4
2089,0.76,Very Good,E,VS2,63.0,59.0,3162,5.76,5.79,3.64,4,6,3
2090,0.9,Good,I,VS2,62.4,65.0,3162,6.09,6.12,3.81,4,2,2
2091,0.7,Ideal,F,VS1,61.0,58.0,3162,5.74,5.76,3.51,5,5,5
2092,0.74,Good,E,VS2,63.9,54.0,3163,5.77,5.81,3.7,4,6,2
2093,0.74,Good,E,VS2,63.5,56.0,3163,5.75,5.8,3.67,4,6,2
2094,0.78,Good,F,VS1,64.0,54.0,3163,5.86,5.82,3.74,5,5,2
2095,0.79,Ideal,F,SI1,61.3,56.0,3163,5.96,6.01,3.67,3,5,5
2096,0.73,Ideal,H,VS2,61.4,55.0,3164,5.79,5.82,3.56,4,3,5
2097,0.73,Ideal,H,VS2,61.0,56.0,3164,5.83,5.88,3.57,4,3,5
2098,1.0,Fair,H,SI2,63.7,54.0,3164,6.42,6.27,4.06,2,3,1
2099,0.7,Ideal,G,VVS1,62.8,57.0,3165,5.63,5.68,3.55,7,4,5
2100,0.92,Premium,H,SI1,60.7,59.0,3165,6.34,6.25,3.82,3,3,4
2101,0.77,Very Good,D,SI1,60.3,58.0,3166,5.89,5.96,3.57,3,7,3
2102,0.73,Good,F,VVS2,58.2,63.0,3166,5.87,6.01,3.46,6,5,2
2103,0.87,Fair,I,VS2,57.3,59.0,3166,6.29,6.44,3.65,4,2,1
2104,1.01,Premium,H,I1,58.1,59.0,3167,6.66,6.6,3.8520299999999996,1,3,4
2105,0.71,Ideal,G,VVS1,62.1,56.0,3167,5.72,5.84,3.59,7,4,5
2106,0.72,Ideal,H,VS1,61.8,55.0,3167,5.78,5.81,3.58,5,3,5
2107,0.7,Ideal,E,VS1,62.6,55.0,3167,5.66,5.69,3.55,5,6,5
2108,0.79,Ideal,H,SI1,61.4,56.0,3167,5.93,5.96,3.65,3,3,5
2109,0.7,Ideal,H,IF,62.2,55.0,3167,5.68,5.71,3.54,8,3,5
2110,0.72,Premium,F,VS1,62.2,57.0,3167,5.74,5.67,3.55,5,5,4
2111,1.01,Fair,H,SI2,64.5,54.0,3167,6.26,6.15,4.0,2,3,1
2112,1.01,Very Good,H,I1,63.2,58.0,3167,6.39,6.33,4.02,1,3,3
2113,1.08,Ideal,F,I1,61.8,56.0,3168,6.64,6.62,4.1,1,5,5
2114,1.23,Ideal,H,I1,61.6,55.0,3168,6.92,6.87,4.25,1,3,5
2115,0.91,Very Good,J,SI2,62.4,61.0,3169,6.13,6.2,3.85,2,1,3
2116,0.79,Ideal,F,SI1,61.2,56.0,3169,5.96,6.01,3.66,3,5,5
2117,0.77,Ideal,F,SI1,61.4,55.0,3169,5.93,5.95,3.65,3,5,5
2118,0.92,Very Good,J,SI1,62.6,58.0,3170,6.18,6.22,3.88,3,1,3
2119,0.92,Ideal,J,SI1,62.3,56.0,3170,6.24,6.29,3.9,3,1,5
2120,0.76,Ideal,E,SI1,61.8,57.0,3170,5.84,5.87,3.62,3,6,5
2121,0.74,Premium,F,VS1,61.7,57.0,3170,5.85,5.79,3.59,5,5,4
2122,0.74,Ideal,F,VS1,62.3,56.0,3170,5.79,5.76,3.6,5,5,5
2123,1.09,Fair,F,SI2,66.3,56.0,3170,6.47,6.39,4.27,2,5,1
2124,0.74,Ideal,F,VS1,61.7,56.0,3170,5.83,5.78,3.58,5,5,5
2125,0.74,Ideal,F,VS2,62.1,56.0,3171,5.79,5.83,3.61,4,5,5
2126,0.83,Very Good,G,SI1,62.3,58.0,3171,5.97,6.01,3.73,3,4,3
2127,0.78,Ideal,G,VS2,62.2,57.0,3171,5.87,5.9,3.66,4,4,5
2128,0.75,Ideal,G,SI1,61.8,55.0,3171,5.81,5.84,3.6,3,4,5
2129,0.83,Ideal,G,SI1,61.8,55.0,3171,6.05,6.09,3.75,3,4,5
2130,0.79,Ideal,E,SI1,60.3,56.0,3171,5.99,6.05,3.63,3,6,5
2131,1.03,Ideal,H,I1,61.5,57.0,3172,6.48,6.52,4.0,1,3,5
2132,1.03,Ideal,H,SI2,62.4,57.0,3172,6.43,6.36,4.0,2,3,5
2133,0.7,Ideal,G,VS2,62.7,54.0,3172,5.65,5.7,3.65,4,4,5
2134,0.84,Fair,F,VS2,65.0,57.2,3172,5.83,5.87,3.81,4,5,1
2135,0.93,Fair,G,SI2,66.1,58.1,3172,6.0,6.04,3.98,2,4,1
2136,0.7,Very Good,E,SI1,63.9,57.0,3173,5.55,5.66,3.58,3,6,3
2137,1.01,Premium,G,SI2,60.1,58.0,3173,6.54,6.39,3.89,2,4,4
2138,0.8,Ideal,D,SI2,61.5,58.0,3173,5.97,6.0,3.68,2,7,5
2139,0.92,Premium,H,SI2,60.4,59.0,3174,6.36,6.33,3.83,2,3,4
2140,0.7,Ideal,H,VVS1,60.2,57.0,3175,5.78,5.82,3.49,7,3,5
2141,0.9,Ideal,J,VS1,62.5,55.0,3175,6.18,6.14,3.85,5,1,5
2142,0.7,Premium,E,VS1,62.9,61.0,3175,5.65,5.57,3.53,5,6,4
2143,0.9,Premium,G,SI2,61.9,61.0,3175,6.13,6.06,3.77,2,4,4
2144,0.9,Premium,J,VS1,62.3,56.0,3175,6.23,6.19,3.87,5,1,4
2145,0.7,Good,E,VS1,63.6,58.0,3175,5.67,5.62,3.59,5,6,2
2146,1.0,Fair,J,SI1,65.3,57.0,3175,6.33,6.12,4.08,3,1,1
2147,1.5,Fair,H,I1,69.3,61.0,3175,6.99,6.81,4.78,1,3,1
2148,0.9,Good,I,SI1,63.5,59.0,3176,6.05,6.1,3.86,3,2,2
2149,0.77,Ideal,G,VS1,62.4,54.0,3176,5.89,5.93,3.69,5,4,5
2150,0.32,Ideal,F,SI2,61.7,56.0,561,4.41,4.44,2.73,2,5,5
2151,0.32,Premium,G,VS2,62.5,58.0,561,4.36,4.38,2.73,4,4,4
2152,0.32,Ideal,G,VS2,62.0,57.0,561,4.39,4.41,2.73,4,4,5
2153,0.32,Ideal,G,VS2,61.5,57.0,561,4.4,4.41,2.71,4,4,5
2154,0.32,Very Good,H,VS1,63.0,55.0,561,4.4,4.42,2.78,5,3,3
2155,0.32,Premium,I,VVS2,62.1,59.0,561,4.35,4.38,2.71,6,2,4
2156,0.32,Very Good,I,VVS2,63.0,57.0,561,4.33,4.37,2.74,6,2,3
2157,0.32,Very Good,G,VS2,62.8,58.0,561,4.31,4.35,2.72,4,4,3
2158,0.32,Premium,G,VS2,60.8,59.0,561,4.41,4.44,2.69,4,4,4
2159,0.32,Premium,G,VS2,61.1,58.0,561,4.42,4.45,2.71,4,4,4
2160,0.32,Very Good,G,VS2,59.9,57.0,561,4.47,4.51,2.69,4,4,3
2161,0.32,Very Good,H,VS1,62.8,58.0,561,4.35,4.37,2.74,5,3,3
2162,0.32,Very Good,E,SI1,62.2,58.0,561,4.36,4.39,2.72,3,6,3
2163,0.32,Premium,E,SI1,62.3,58.0,561,4.37,4.4,2.73,3,6,4
2164,0.4,Good,H,SI2,63.8,57.0,561,4.67,4.7,2.99,2,3,2
2165,0.32,Premium,G,VS2,61.5,60.0,561,4.36,4.39,2.69,4,4,4
2166,0.32,Premium,G,VS2,60.7,58.0,561,4.38,4.42,2.67,4,4,4
2167,0.32,Premium,G,VS2,61.5,59.0,561,4.4,4.42,2.71,4,4,4
2168,0.32,Ideal,G,VS2,61.4,57.0,561,4.39,4.4,2.7,4,4,5
2169,0.32,Ideal,G,VS2,62.0,57.0,561,4.37,4.4,2.72,4,4,5
